Depthm,T_degC,Salnty,O2ml_L
700,5.24,34.394,0.49
800,4.77,34.427,0.55
814,4.7,34.43,0.56
900,4.44,34.429,0.59
1000,4.13,34.428,0.63
1100,3.82,34.43,0.67
1113,3.78,34.43,0.68
0,15.8,33.38,5.79
9,15.73,33.33,5.75
10,15.72,33.33,5.75
20,15.62,33.33,5.81
23,15.58,33.33,5.83
30,15.55,33.332,5.86
46,15.27,33.35,5.9
50,15.06,33.363,5.91
69,13.84,33.44,5.96
75,13.44,33.442,5.86
92,NA,33.4,5.45
100,11.9,33.476,5.19
125,10.57,33.537,4.33
136,10.06,33.57,3.92
150,9.61,33.679,3.44
178,8.96,33.9,2.63
200,8.61,34.006,2.28
230,8.26,34.11,1.98
250,8.07,34.114,1.82
300,7.65,34.134,1.48
348,6.93,34.14,1.24
400,6.98,34.213,0.86
464,6.69,34.29,0.43
500,6.5,34.31,0.43
600,5.95,34.362,0.42
700,5.36,34.407,0.42
790,4.8,34.44,0.41
800,4.72,34.443,0.44
803,4.7,34.59,0.45
900,4.23,34.473,0.62
1000,3.91,34.498,0.72
1085,3.78,NA,0.75
1100,3.74,34.518,0.76
1200,3.51,34.533,0.85
1275,3.35,34.54,0.91
1300,3.3,34.542,0.94
1400,3.12,34.549,1.05
1500,2.93,34.557,1.16
1600,2.74,34.565,1.28
1761,2.44,34.58,1.46
0,16.6,33.39,5.66
10,16.43,33.37,5.6
20,16.43,33.37,5.66
25,16.43,33.37,5.69
30,16.11,33.37,5.83
50,14.38,33.37,6.35
75,12.55,33.31,6.09
100,11.61,33.4,5.38
125,10.48,33.517,4.51
150,9.47,33.66,3.72
199,8.65,33.96,2.97
200,8.64,33.963,2.96
250,7.96,34.061,2.3
298,7.41,34.07,1.77
300,7.39,34.071,1.75
397,6.51,34.13,0.98
400,6.49,34.132,0.96
500,5.87,34.205,0.56
596,5.42,34.27,0.41
600,5.4,34.272,0.41
700,4.95,34.319,0.5
800,4.55,34.356,0.58
894,4.22,34.38,0.66
900,4.2,34.381,0.66
1000,3.94,34.393,0.74
1100,3.67,34.407,0.81
1192,3.42,34.42,0.88
0,16.8,33.42,5.65
9,16.76,33.42,5.61
10,16.76,33.424,5.61
20,16.76,33.466,5.58
23,16.76,33.48,5.58
30,16.6,33.452,5.6
46,16.22,33.39,5.7
50,15.66,33.375,5.74
70,12.61,33.37,5.93
75,12.17,33.37,5.75
94,11.01,33.37,4.87
100,10.71,33.386,4.68
125,9.72,33.492,3.99
140,9.32,33.58,3.67
150,9.12,33.653,3.43
187,8.59,33.91,2.66
200,8.4,33.956,2.48
250,7.73,34.07,1.94
283,7.35,34.09,1.69
300,7.19,34.11,1.51
379,6.58,34.18,0.78
400,6.45,34.193,0.73
500,5.88,34.244,0.5
572,5.54,34.27,0.34
600,5.4,34.285,0.36
700,4.94,34.338,0.41
800,4.52,34.389,0.46
864,4.28,34.42,0.5
900,4.18,34.431,0.54
1000,3.9,34.46,0.64
1100,3.62,34.491,0.75
1158,3.46,34.51,0.81
0,16.5,33.31,5.7
9,16.41,33.28,5.87
10,16.41,33.282,5.87
20,16.35,33.307,5.86
21,16.34,33.31,5.86
30,16.1,33.294,5.88
43,15.42,33.26,5.92
50,14.67,33.256,5.96
65,13.27,33.3,6.02
75,13.38,33.367,5.99
86,13.51,33.44,5.95
100,12.82,33.42,5.77
125,11.16,33.377,5.3
130,10.76,33.37,5.19
150,9.87,33.468,4.72
174,9.04,33.62,4.17
200,8.44,33.742,3.89
250,7.7,33.925,3.43
263,7.59,33.96,3.32
300,7.22,34.046,2.55
352,6.82,34.13,1.44
400,6.54,34.18,1.17
500,6.06,34.242,0.6
532,5.94,34.25,0.42
600,5.57,34.273,0.42
700,5.06,34.305,0.42
800,4.58,34.336,0.42
812,4.52,34.34,0.42
900,4.24,34.394,0.53
1000,3.93,34.456,0.65
1100,3.61,34.52,0.78
0,17.2,33.49,5.57
9,17.23,33.44,5.55
10,17.23,33.438,5.55
20,17.24,33.42,5.62
30,17.03,33.412,5.7
41,16.5,34.23,5.79
50,15.64,33.427,5.87
62,14.53,33.46,5.95
75,14.17,33.494,5.91
83,14.08,33.51,5.88
100,13.59,33.501,5.78
125,12.53,33.46,5.54
150,10.8,33.46,5.12
168,9.56,33.46,4.76
200,8.99,33.646,4.03
250,8.1,33.948,2.92
252,8.06,33.96,2.88
300,7.34,34.049,2.11
336,6.88,34.07,1.65
400,6.35,34.122,1.09
500,5.79,34.178,0.6
504,5.78,34.18,0.59
600,5.27,34.249,0.52
700,4.82,34.316,0.44
771,4.54,34.36,0.39
800,4.46,34.368,0.43
900,4.18,34.396,0.57
1000,3.9,34.425,0.7
1100,3.62,34.456,0.84
1146,3.49,34.47,0.9
0,17.5,33.57,5.41
10,17.54,33.57,5.51
20,17.54,33.57,5.22
25,17.54,33.57,5.07
30,17.2,33.549,5.15
50,15.57,33.48,5.7
75,14.65,33.51,5.74
99,13.97,33.46,5.86
100,13.94,33.458,5.86
125,13.07,33.444,5.65
148,12.06,33.43,5.3
150,11.93,33.433,5.27
195,9.12,33.6,4.49
200,9.05,33.641,4.43
250,8.4,33.922,3.78
290,7.88,33.98,3.27
300,7.76,33.998,3.08
385,6.86,34.09,1.49
400,6.73,34.106,1.41
500,5.95,34.206,0.87
579,5.46,34.27,0.45
600,5.34,34.281,0.45
700,4.84,34.328,0.47
800,4.42,34.363,0.48
871,4.17,34.38,0.49
900,4.09,34.391,0.54
1000,3.81,34.427,0.7
1100,3.54,34.465,0.86
1164,3.36,34.49,0.96
0,17.9,33.77,5.39
10,17.89,33.73,5.53
20,17.87,33.715,5.54
23,17.87,33.71,5.54
30,17.47,33.678,5.55
47,16.13,33.58,5.61
50,15.89,33.558,5.63
71,14.45,33.44,5.81
75,14.35,33.44,5.85
95,13.98,33.44,5.95
100,13.76,33.415,5.9
125,12.54,33.326,5.53
144,11.48,33.3,5.09
150,11.2,33.343,4.96
192,9.48,33.73,4.04
200,9.27,33.769,3.9
250,8.22,33.942,3.12
288,7.76,33.98,2.62
300,7.6,34,2.45
385,6.64,34.11,1.38
400,6.52,34.126,1.25
500,5.82,34.217,0.6
578,5.43,34.27,0.36
600,5.31,34.284,0.37
700,4.83,34.344,0.41
800,4.43,34.393,0.46
868,4.19,34.42,0.49
900,4.12,34.428,0.53
1000,3.91,34.453,0.67
1100,3.69,34.479,0.8
1200,3.47,34.506,0.94
1253,3.36,34.52,1.01
0,18.2,33.71,5.23
10,18.15,33.75,5.11
20,18.14,33.737,5.16
25,18.14,33.73,5.19
30,17.8,33.681,5.23
50,16.01,33.48,5.4
74,14.39,33.42,5.57
75,14.36,33.419,5.57
98,13.91,33.4,5.6
100,13.85,33.4,5.6
125,13.08,33.4,5.49
146,12.3,33.4,5.29
150,12.14,33.417,5.23
196,10.32,33.66,4.45
200,10.19,33.676,4.39
250,8.75,33.854,3.64
292,7.88,33.96,3.01
300,7.76,33.978,2.85
390,6.81,34.13,1.23
400,6.72,34.14,1.19
500,5.96,34.216,0.75
585,5.46,34.25,0.38
600,5.38,34.26,0.38
700,4.89,34.327,0.41
800,4.49,34.387,0.44
879,4.22,34.43,0.46
900,4.16,34.436,0.49
1000,3.87,34.466,0.62
1100,3.58,34.496,0.75
1174,3.37,34.52,0.85
0,18.6,33.87,5.38
10,18.65,33.84,5.37
20,18.65,33.84,5.38
24,18.65,33.84,5.38
30,18.65,33.845,5.39
48,18.65,33.86,5.44
50,18.47,33.847,5.48
73,15.88,33.69,5.88
75,15.7,33.678,5.86
98,13.85,33.57,5.41
100,13.7,33.566,5.34
125,12,33.559,4.47
147,10.8,33.62,3.72
150,10.67,33.636,3.68
196,9.18,33.91,3.22
200,9.12,33.905,3.15
250,8.53,33.884,2.27
295,8.24,NA,1.53
300,8.14,33.925,1.49
394,6.38,34.14,1.13
400,6.36,34.149,1.1
500,6.09,34.283,0.64
590,5.84,34.38,0.3
600,5.79,34.385,0.31
700,5.3,34.426,0.36
800,4.8,34.447,0.41
886,4.36,34.45,0.45
900,4.32,34.452,0.47
1000,4.01,34.464,0.63
1100,3.7,34.478,0.78
1182,3.45,34.49,0.91
0,18.7,33.84,5.42
10,18.73,33.84,5.45
20,18.7,33.764,5.45
23,18.69,33.75,5.45
30,18.37,33.75,5.5
47,17.23,33.75,5.7
50,17.03,33.74,5.75
71,15.57,33.64,6
75,15.27,33.612,5.97
95,13.77,33.49,5.62
100,13.41,33.477,5.45
125,11.8,33.483,4.55
143,10.86,33.55,3.86
150,10.62,33.594,3.69
191,9.6,33.87,2.96
200,9.4,33.905,2.87
250,8.45,34.04,2.48
286,7.9,34.07,2.3
300,7.71,34.07,2.17
382,6.77,34.07,1.4
400,6.61,34.079,1.27
500,5.83,34.14,0.7
576,5.39,34.2,0.45
600,5.26,34.216,0.46
700,4.78,34.281,0.49
800,4.38,34.342,0.52
867,4.17,34.38,0.54
900,4.09,34.396,0.57
1000,3.84,34.443,0.66
1100,3.6,34.491,0.75
1159,3.45,34.52,0.8
0,18.7,33.82,5.45
10,18.73,33.75,5.45
20,18.71,33.75,5.5
24,18.7,33.75,5.53
30,18.3,33.734,5.62
48,16.77,33.68,5.88
50,16.65,33.673,5.89
72,15.53,33.62,5.96
75,15.42,33.622,5.95
96,14.64,33.64,5.88
100,14.43,33.622,5.81
125,13.06,33.531,5.26
145,11.89,33.49,4.66
150,11.63,33.517,4.5
193,9.72,33.84,3.19
200,9.58,33.892,3.03
250,8.86,34.14,2.1
288,8.68,34.18,1.66
300,8.5,34.199,1.56
384,7.26,34.09,1.15
400,7.09,34.317,1.07
500,6.21,34.355,0.67
574,5.76,34.33,0.46
600,5.6,34.337,0.47
700,5.03,34.364,0.53
800,4.57,34.388,0.58
864,4.32,34.4,0.61
900,4.22,34.416,0.65
1000,3.95,34.463,0.74
1100,3.68,34.51,0.84
1161,3.52,34.54,0.9
0,18.6,33.84,5.25
9,18.63,33.84,5.26
10,18.63,33.841,5.26
20,18.63,33.856,5.22
23,18.63,33.86,5.22
30,18.24,33.86,5.29
47,17.05,33.86,5.51
50,16.89,33.878,5.51
71,16,33.96,5.54
75,15.89,33.923,5.54
95,15.41,33.77,5.48
100,15.36,33.774,5.47
125,14.87,33.812,5.35
143,14.26,33.86,5.15
150,13.67,33.825,4.97
191,10.06,33.69,3.86
200,9.89,33.759,3.78
250,8.92,34.01,3.45
288,8.19,34.05,3.32
300,8.02,34.065,3.1
386,7.06,34.11,1.42
400,6.92,34.121,1.36
500,6.06,34.202,0.92
581,5.51,34.27,0.56
600,5.41,34.287,0.55
700,4.97,34.367,0.52
800,4.63,34.432,0.48
875,4.44,34.47,0.45
900,4.37,34.471,0.48
1000,4.09,34.477,0.59
1100,3.81,34.484,0.69
1170,3.62,34.49,0.77
0,18.4,33.95,5.41
8,18.67,33.87,5.44
10,18.67,33.87,5.43
20,18.67,33.87,5.38
21,18.67,33.87,5.38
30,18.2,33.848,5.54
42,17.28,33.8,5.79
50,16.55,33.738,5.8
65,15.4,33.66,5.83
75,15.23,33.697,5.82
87,15.16,33.75,5.8
100,14.65,33.7,5.68
125,13.35,33.577,5.32
130,13.04,33.55,5.23
150,11.88,33.557,4.82
174,10.58,33.62,4.3
200,9.64,33.82,3.82
250,8.51,34.112,2.92
262,8.37,NA,2.71
300,8.25,34.282,1.87
350,8.09,34.33,0.89
400,7.69,34.333,0.73
500,6.77,34.339,0.42
525,6.52,34.34,0.34
600,5.98,34.364,0.34
700,5.35,34.398,0.35
793,4.86,34.43,0.35
800,4.84,34.43,0.36
900,4.51,34.428,0.48
1000,4.17,34.427,0.6
1100,3.84,34.428,0.72
1173,3.6,34.43,0.81
0,18.1,33.71,5.5
10,18.08,33.71,5.41
20,18.04,33.71,5.42
23,18.03,33.71,5.42
30,17.71,33.728,5.45
46,16.72,33.75,5.58
50,16.48,33.729,5.64
69,15.48,33.62,5.92
75,15.27,33.612,5.95
91,14.8,33.6,6.04
100,14.6,33.566,5.94
125,13.94,33.477,5.45
136,13.59,33.44,5.15
150,12.83,33.445,4.76
181,11.06,33.53,3.92
200,10.27,33.622,3.59
250,8.71,33.865,2.92
271,8.28,33.96,2.72
300,7.85,34.011,2.33
361,7.28,34.05,1.6
400,6.87,34.074,1.27
500,5.92,34.136,0.68
542,5.58,34.16,0.54
600,5.24,34.222,0.53
700,4.78,34.323,0.5
800,4.44,34.415,0.47
817,4.4,34.43,0.47
900,4.16,34.446,0.56
1000,3.88,34.466,0.68
1100,3.59,34.488,0.79
1110,3.56,34.49,0.8
0,17.1,33.51,5.4
8,17.11,33.51,5.46
10,17.11,33.507,5.46
20,17.12,33.49,5.5
30,16.42,33.443,5.73
40,15.49,33.4,5.95
50,14.7,33.376,5.93
61,13.98,33.37,5.9
75,13.53,33.404,5.86
82,13.36,33.42,5.83
100,12.52,33.386,5.63
122,11.4,33.35,5.26
125,11.26,33.358,5.19
150,10.21,33.45,4.61
162,9.76,33.51,4.31
200,8.82,33.681,3.49
245,8.12,NA,2.68
250,8.05,33.881,2.61
300,7.45,34.041,2.05
328,7.18,34.11,1.8
400,6.45,34.132,1.14
494,5.64,34.16,0.51
500,5.6,34.165,0.51
600,5.02,34.248,0.47
700,4.59,34.335,0.44
752,4.42,34.38,0.42
800,4.3,34.394,0.45
900,4.05,34.424,0.52
1000,3.79,34.454,0.59
1100,3.54,34.486,0.66
1112,3.51,34.49,0.67
0,17.2,33.55,5.54
9,17.16,33.48,5.97
10,17.16,33.48,5.96
20,17.17,33.48,5.75
23,17.17,33.48,5.65
30,16.32,33.427,5.71
46,14.09,33.34,6.02
50,13.87,33.344,6.11
70,13.24,33.37,6.35
75,13.01,33.357,6.25
94,12.1,33.31,5.68
100,11.78,33.307,5.51
125,10.56,33.358,4.82
141,9.86,33.44,4.38
150,9.59,33.524,4.12
188,8.74,33.89,3.13
200,8.54,33.94,2.91
250,7.86,33.989,2.19
282,7.54,34.04,1.89
300,7.33,34.052,1.7
377,6.51,34.09,1.05
400,6.31,34.108,0.92
500,5.59,34.192,0.49
566,5.22,34.25,0.36
600,5.06,34.276,0.37
700,4.65,34.346,0.39
800,4.32,34.404,0.42
852,4.18,34.43,0.43
900,4.06,34.444,0.49
1000,3.8,34.475,0.62
1100,3.54,34.506,0.75
1143,3.43,34.52,0.8
0,17.4,33.6,5.28
10,17.4,33.57,5.55
20,17.41,33.57,5.51
24,17.42,33.57,5.48
30,16.57,33.483,5.64
47,13.81,33.28,6.13
50,13.63,33.276,6.12
71,12.9,33.32,6.01
75,12.64,33.334,5.95
96,11.24,33.44,5.45
100,11.06,33.466,5.29
125,10.22,33.64,4.28
144,9.86,33.78,3.48
150,9.76,33.826,3.3
192,9.27,34.11,2.36
200,9.21,34.145,2.25
250,8.85,34.294,1.71
288,8.6,34.33,1.51
300,8.47,34.331,1.44
385,7.5,34.29,1.02
400,7.36,34.29,0.95
500,6.49,34.304,0.6
578,5.94,34.33,0.42
600,5.8,34.337,0.44
700,5.2,34.372,0.53
800,4.7,34.407,0.62
866,4.43,34.43,0.68
900,4.35,34.437,NA
1000,4.11,34.456,NA
1100,3.87,34.477,NA
1200,3.63,34.499,NA
1252,3.5,34.51,0.28
0,18.5,33.69,5.7
9,18.41,33.68,5.74
10,18.4,33.681,5.72
20,18.31,33.688,5.49
22,18.29,33.69,5.45
30,16.76,33.608,5.71
46,13.12,33.53,5.98
50,12.58,33.541,5.63
69,10.87,33.62,3.78
75,10.58,33.639,3.65
93,10.01,33.69,3.27
100,9.77,33.722,3.35
125,9.04,33.839,3.63
140,8.7,33.91,3.81
150,8.57,33.943,3.58
188,8.28,34.04,2.42
200,8.21,34.068,2.19
250,7.94,34.16,1.5
282,7.78,34.2,1.27
300,7.63,34.21,1.16
377,6.96,34.23,0.88
400,6.79,34.244,0.8
500,6.15,34.312,0.53
567,5.78,34.36,0.41
600,5.6,34.377,0.42
700,5.09,34.421,0.47
800,4.64,34.456,0.51
854,4.42,34.47,0.53
900,4.29,34.477,0.59
1000,3.99,34.493,0.71
1100,3.7,34.511,0.84
1149,3.56,34.52,0.9
0,18.9,33.75,5.28
10,18.9,33.68,5.38
20,17.86,33.636,5.69
25,17.1,33.62,5.85
30,16.19,33.589,5.88
50,12.58,33.55,5.98
75,10.22,33.62,3.94
99,9.46,33.78,3.27
100,9.46,33.791,3.23
125,9.57,34.021,2.35
148,9.67,34.16,1.67
150,9.67,34.167,1.66
198,9.46,34.25,1.5
200,9.45,34.253,1.49
250,9.25,34.308,1.15
297,8.95,34.33,0.84
300,8.91,34.329,0.83
396,7.67,34.29,0.69
400,7.63,34.292,0.68
500,6.79,34.332,0.51
594,6.18,34.36,0.4
600,6.14,34.356,0.4
694,5.48,34.3,0.43
0,18.2,33.68,5.25
10,18.03,33.66,5.38
20,17.96,33.66,5.43
25,17.92,33.66,5.45
30,17.22,33.605,5.54
48,14.32,33.44,5.86
50,14.16,33.433,5.86
72,13.02,33.4,5.91
75,12.85,33.398,5.89
96,11.7,33.42,5.58
100,11.55,33.45,5.47
125,10.77,33.653,4.63
143,9.18,33.73,3.88
150,10.21,33.873,3.55
190,9.78,34.25,1.85
200,9.69,34.288,1.76
250,9.28,34.345,1.28
285,9.03,34.4,0.95
300,8.81,34.391,0.93
380,7.6,34.31,0.85
400,7.4,34.31,0.81
500,6.56,34.31,0.61
568,6.16,34.31,0.48
600,5.95,34.32,0.49
700,5.36,34.355,0.53
800,4.85,34.396,0.56
856,4.6,34.42,0.58
900,4.46,34.43,0.65
1000,4.15,34.452,0.81
1100,3.84,34.477,0.97
1152,3.68,34.49,1.05
0,18.8,33.79,5.23
10,18.5,33.73,5.26
20,18.4,33.726,5.3
24,18.32,33.71,5.33
30,17.81,33.687,5.43
48,15.86,33.62,5.72
50,15.68,33.614,5.72
71,13.98,33.55,5.74
75,13.69,33.531,5.71
96,12.31,33.48,5.3
100,12.05,33.502,5.1
125,10.7,33.7,3.8
144,10,33.91,2.71
150,10.02,33.973,2.49
192,10.12,34.25,1.38
200,10.11,34.281,1.24
250,10.03,34.428,0.63
287,9.97,34.49,0.49
300,9.81,34.485,0.5
383,8.56,34.4,0.76
400,8.36,34.397,0.73
500,7.34,34.399,0.51
574,6.74,34.42,0.27
600,6.53,34.419,0.3
700,5.77,34.418,0.4
800,5.12,34.419,0.5
861,4.78,34.42,0.56
900,4.63,34.428,0.62
1000,4.24,34.451,0.77
1100,3.85,34.476,0.92
1153,3.64,34.49,1
0,17.8,33.64,5.65
10,17.7,33.62,5.78
20,17.57,33.593,5.64
25,17.51,33.58,5.56
30,16.83,33.539,5.7
49,13.71,33.45,6.1
50,13.59,33.449,6.07
73,11.56,33.51,4.95
75,11.45,33.526,4.8
98,10.52,33.73,3.17
100,10.45,33.742,3.15
125,9.74,33.872,2.89
148,9.31,33.96,2.66
150,9.29,33.97,2.62
197,9.02,34.19,1.75
200,9.01,34.201,1.7
250,8.86,34.353,0.98
296,8.7,34.43,0.53
300,8.67,34.43,0.52
395,7.78,34.43,0.4
400,7.73,34.428,0.4
500,6.82,34.401,0.35
593,6.06,34.38,0.31
600,6.01,34.381,0.31
700,5.42,34.397,0.34
800,4.92,34.422,0.41
891,4.56,34.45,0.5
900,4.53,34.452,0.51
1000,4.2,34.47,0.66
1100,3.87,34.491,0.81
1188,3.58,34.51,0.94
0,18.8,33.71,5.54
9,18.59,33.66,5.53
10,18.58,33.659,5.54
20,18.43,33.645,5.6
24,18.37,33.64,5.62
30,16.77,33.556,5.43
48,11.48,33.53,4.55
50,11.37,33.574,4.46
72,10.12,33.71,3.39
75,10.04,33.731,3.19
96,9.72,33.87,1.92
100,9.69,33.897,1.91
125,9.49,34.046,1.88
145,9.36,34.14,1.85
150,9.29,34.154,1.84
193,8.64,34.22,1.66
200,8.56,34.225,1.61
250,8.05,34.248,1.25
290,7.72,34.25,0.96
300,7.63,34.254,0.91
387,6.9,34.29,0.59
400,6.82,34.297,0.56
500,6.28,34.345,0.36
580,5.94,34.38,0.29
600,5.83,34.386,0.31
700,5.31,34.413,0.38
800,4.83,34.436,0.46
871,4.5,34.45,0.52
900,4.41,34.456,0.56
1000,4.1,34.479,0.71
1100,3.78,34.503,0.86
1165,3.58,34.52,0.96
0,18.3,33.64,5.74
10,18.22,33.6,5.69
20,18.18,33.618,5.43
24,18.17,33.64,5.33
30,18.01,33.654,5.4
47,17.17,33.66,5.58
50,16.93,33.65,5.64
72,15.02,33.57,5.97
75,14.86,33.56,5.94
96,NA,33.64,5.6
100,13.64,33.496,5.6
125,12.64,33.465,5.63
140,12.16,33.46,5.65
150,11.59,33.488,5.34
180,9.98,33.62,4.25
200,9.39,33.728,3.76
250,8.43,33.957,2.87
262,8.31,34,2.72
300,7.6,34.04,2.3
348,6.84,34.05,1.89
400,6.37,34.117,1.44
500,5.81,34.249,0.77
524,5.74,34.28,0.65
600,5.36,34.328,0.64
700,4.92,34.374,0.62
800,4.56,34.4,0.6
802,4.55,34.4,0.6
900,4.27,34.44,0.68
1000,3.99,34.482,0.75
1087,3.74,34.52,0.82
0,18.7,33.66,5.7
9,18.66,33.64,5.45
10,18.65,33.638,5.45
20,18.56,33.623,5.45
22,18.54,33.62,5.45
30,17.99,33.649,5.64
44,16.82,33.71,6.01
50,16.47,33.704,6.04
67,15.64,33.66,6.11
75,15.41,33.634,6.06
89,NA,33.63,5.95
100,14.62,33.567,5.9
125,13.75,33.52,5.78
133,13.45,33.51,5.74
150,12.23,33.547,4.97
175,10.46,33.66,3.73
200,9.61,33.795,3.48
250,8.77,34.031,2.98
260,8.74,34.07,2.88
300,8.26,34.161,2.18
347,7.84,34.22,1.37
400,7.37,34.269,0.89
500,6.57,34.324,0.42
525,6.39,34.33,0.4
600,5.86,34.358,0.47
700,5.24,34.389,0.56
800,4.72,34.41,0.65
900,4.39,34.429,0.77
1000,4.06,34.45,0.89
1089,3.77,34.47,0.99
0,19.3,NA,5.35
10,19.3,33.91,5.36
20,19.27,33.881,5.43
24,19.26,33.87,5.47
30,18.91,33.823,5.53
48,17.4,33.68,5.74
50,17.22,33.672,5.78
73,15.23,33.62,6.05
75,15.07,33.607,6.02
97,NA,33.48,5.47
100,13.3,33.486,5.4
125,11.89,33.431,4.79
146,10.97,33.42,4.31
150,10.84,33.452,4.23
196,9.69,33.87,3.36
200,9.61,33.892,3.29
250,8.74,34.093,2.49
293,8.2,34.16,1.93
300,8.12,34.169,1.86
392,7.3,34.23,1.2
400,7.23,34.235,1.15
500,6.43,34.295,0.65
588,5.82,34.34,0.39
600,5.75,34.344,0.4
700,5.24,34.376,0.5
800,4.81,34.403,0.6
882,4.52,34.42,0.68
900,4.46,34.426,0.7
1000,4.15,34.458,0.82
1100,3.83,34.492,0.93
1178,3.58,34.52,1.02
0,19.4,33.95,5.34
10,19.27,33.91,5.32
20,19.27,33.91,5.35
24,19.27,33.91,5.36
30,18.91,33.884,5.43
48,17.31,33.78,5.69
50,17.12,33.768,5.71
73,14.91,33.66,5.99
75,14.74,33.657,5.92
97,NA,33.49,4.86
100,12.88,33.654,4.72
125,11.4,33.708,3.73
146,10.46,33.78,3.15
150,10.31,33.795,3.14
196,8.98,33.96,3.08
200,8.9,33.967,3.05
250,8.09,34.039,2.55
294,7.69,34.07,1.97
300,7.65,34.081,1.89
391,7.2,34.23,0.85
400,7.14,34.235,0.83
500,6.41,34.252,0.58
587,5.77,34.27,0.37
600,5.7,34.274,0.38
700,5.17,34.308,0.49
800,4.72,34.346,0.59
882,4.42,34.38,0.68
900,4.37,34.388,0.71
1000,4.07,34.431,0.87
1100,3.77,34.475,1.03
1176,3.54,34.51,1.15
0,19.1,33.87,5.6
10,19.04,33.89,5.51
20,19.01,33.87,5.34
25,19,33.86,5.31
30,18.74,33.899,5.45
37,18.28,33.96,5.7
50,17.45,33.969,5.9
59,16.94,33.95,6.04
75,16.45,33.939,5.63
80,16.33,33.93,5.5
100,15.86,33.852,5.85
112,15.39,33.78,6.16
125,14.24,33.68,6.14
143,12.53,33.58,6.11
150,12.16,33.573,5.94
200,10.47,33.636,4.35
208,10.36,33.66,4.04
250,9.28,33.784,3.14
300,8.22,33.941,2.31
370,7.14,34.16,1.58
400,6.83,34.207,1.34
500,6.06,34.311,0.8
550,5.84,34.33,0.69
600,5.57,34.36,0.72
700,5.08,34.41,0.77
800,4.68,34.444,0.82
828,4.58,34.45,0.84
900,4.35,34.464,0.85
1000,4.03,34.484,0.88
1100,3.71,34.506,0.9
1119,3.65,34.51,0.9
0,19.5,33.98,5.29
10,19.51,33.96,3.43
20,19.42,33.96,5.39
25,19.37,33.96,5.41
30,19.04,33.96,5.53
50,17.42,33.96,6
75,16.07,33.88,6.03
99,15.35,33.73,5.94
100,15.33,33.725,5.94
125,14.67,33.627,5.84
149,13.8,33.57,5.74
150,13.73,33.568,5.72
198,10.43,33.6,4.4
200,10.36,33.61,4.35
250,8.98,33.869,3.3
294,8.54,34.09,2.56
300,8.45,34.103,2.47
390,7.28,34.2,1.36
400,7.18,34.208,1.28
500,6.28,34.274,0.65
583,5.72,34.31,0.42
600,5.62,34.319,0.44
700,5.11,34.366,0.53
800,4.7,34.406,0.62
876,4.46,34.43,0.69
900,4.39,34.434,0.72
1000,4.09,34.453,0.83
1100,3.8,34.474,0.94
1174,3.58,34.49,1.02
0,19.9,34.19,5.3
10,19.87,34.16,5.29
20,19.85,34.174,5.23
24,19.84,34.18,5.21
30,19.5,34.165,5.27
47,18.27,34.11,5.49
50,18.09,34.104,5.5
71,17.09,34.07,5.6
75,16.98,34.065,5.58
94,16.58,34.04,5.43
100,16.48,34.016,5.42
125,16.07,33.994,5.37
141,15.8,33.97,5.34
150,14.97,33.867,5.19
187,11.22,33.55,4.41
200,10.54,33.586,4.17
250,8.86,33.831,3.35
281,8.54,34.04,2.9
300,8.19,34.075,2.65
375,7.17,34.13,1.82
400,6.92,34.156,1.59
500,6.14,34.255,0.85
566,5.79,34.31,0.54
600,5.61,34.33,0.55
700,5.13,34.381,0.56
800,4.73,34.417,0.58
854,4.55,34.43,0.59
900,4.4,34.442,0.64
1000,4.09,34.468,0.75
1100,3.77,34.497,0.86
1146,3.62,34.51,0.91
0,20.2,34.04,5.4
10,20.16,33.95,5.39
20,20.1,33.897,5.3
25,20.07,33.87,5.27
30,19.55,33.864,5.36
49,17.28,33.89,5.74
50,17.22,33.89,5.74
74,16.21,33.84,5.56
75,16.17,33.837,5.56
98,15.37,33.75,5.49
100,15.29,33.739,5.48
125,14.24,33.635,5.33
148,13.12,33.6,5.2
150,12.99,33.608,5.12
196,10.24,33.93,3.04
200,10.2,33.968,2.91
250,9.72,34.289,1.66
294,9.3,34.33,1.08
300,9.21,34.33,1.06
392,7.76,34.33,0.69
400,7.67,34.331,0.68
500,6.65,34.35,0.57
587,6.03,34.37,0.47
600,5.95,34.374,0.47
700,5.35,34.403,0.5
800,4.87,34.43,0.53
882,4.56,34.45,0.56
900,4.5,34.452,0.58
1000,4.19,34.464,0.68
1100,3.87,34.478,0.79
1178,3.62,34.49,0.87
0,20.8,34.25,5.1
10,20.81,34.23,5
20,20.74,34.223,5.07
25,20.71,34.22,NA
30,20.22,34.09,5.18
50,17.8,33.62,5.49
75,15.92,33.88,5.6
100,14.49,33.68,5.27
125,12.45,33.68,4.45
150,10.64,33.68,3.55
199,9.98,34.05,2.54
200,9.97,34.055,2.52
250,9.56,34.274,1.48
298,9.22,34.38,0.71
300,9.2,34.382,0.7
397,8.14,34.42,0.41
400,8.11,34.421,0.41
500,7.11,34.441,0.37
594,6.29,34.45,0.33
600,6.25,34.45,0.33
700,5.56,34.45,0.35
800,4.98,34.451,0.36
890,4.56,34.45,0.38
900,4.52,34.452,0.41
1000,4.17,34.474,0.7
1100,3.81,34.498,0.99
1188,3.5,34.52,1.24
0,21,34.38,5.18
