Intense,Advnt,Intel,Uncon
0.809700671,3.475,3.4,3.1
1.895661919,3.65,3.72,3.7
-0.586535219,3.35,3.3,2.6
0.189151386,3.525,3.34,2.3
-0.896809862,4.225,3.94,3.3
-0.276260577,4,3.959183673,3.2
-0.276260577,3.85,3.68,2.6
1.275112634,3.9,3.88,2.4
-1.362221825,4.1,4.22,2.3
-0.896809862,4.6,4.56,2.9
-0.431397898,4.025,3.98,1.8
-0.121123256,3.4,3.34,2.8
0.189151386,3.9,3.54,3.1
0.344288707,3.45,3.48,2.4
0.189151386,3.5,3.68,3.7
-0.276260577,3.5,3.4,3.1
-1.517359146,3.325,3.28,4.4
0.034014065,4.05,3.84,3.4
1.119975313,3.65,3.48,3
-1.362221825,3.4,3.22,2.6
0.964837992,3.65,3.68,4.6
-0.431397898,4.2,4.1,2.7
-1.517359146,3.5,3.36,3.4
1.119975313,4.025,4.02,3.9
0.499426028,3.525,3.56,2.7
-1.517359146,3.162162162,3.361702128,3
-1.207084504,3.55,3.28,3
-0.431397898,3.717948718,3.530612245,2.9
-1.051947183,3.425,3.32,2.5
-1.051947183,4.15,3.98,3.6
0.034014065,3.9,3.74,2.7
0.809700671,4.425,4.52,3.8
-1.517359146,3.775,3.56,3.5
-1.207084504,3.575,3.38,2.9
1.275112634,3.7,3.58,3.5
0.964837992,3.75,3.58,2.4
-0.896809862,3.625,3.8,2.5
1.430249955,4.4,4.06,4.2
-1.051947183,3.575,3.62,2.7
-1.517359146,3.65,3.58,2.3
0.809700671,3.9,3.96,4.2
0.344288707,3.4,3.48,3.4
-1.207084504,3,3,3
1.275112634,4.55,4.6,4.2
0.034014065,3.65,3.34,3
1.740524598,3.65,3.6,3.5
0.344288707,4.475,4.32,4
1.895661919,3.925,3.78,2.6
1.430249955,3.925,3.66,3.4
-0.121123256,3.675,3.54,3.2
1.585387276,3.725,3.6,4.1
-0.121123256,3.875,3.68,3.3
-0.586535219,3.725,3.6,2.3
0.034014065,4.2,4,3.4
0.65456335,4.4,4.28,3.6
-0.276260577,3.75,3.68,3.2
